iter	AUC	Logloss
131	0.9787213802	0.1611862281
132	0.9787371755	0.1611131329
133	0.978745997	0.1610702444
134	0.9787572026	0.1610189798
135	0.978763938	0.160979003
136	0.9787724018	0.1609506453
137	0.9787813425	0.1609220806
138	0.9787920713	0.1608841047
139	0.978797853	0.1608431758
140	0.9788052738	0.1608141419
141	0.978821516	0.1607470908
142	0.9788247347	0.160720803
143	0.9788405299	0.1606540416
144	0.9788503647	0.1605983749
145	0.9788611531	0.1605600265
146	0.9788641334	0.1605416595
147	0.9788698554	0.1605096036
148	0.9788909554	0.1604313474
149	0.9789043069	0.1603892869
150	0.9789125323	0.160365069
151	0.9789206982	0.1603389744
152	0.9789277315	0.1603135697
153	0.9789353609	0.1602703501
154	0.9789532423	0.1602020294
155	0.9789597988	0.1601673654
156	0.9789639711	0.1601356958
157	0.9789683223	0.160118074
158	0.9789767265	0.1600816575
159	0.9789907932	0.1600385897
160	0.9789943099	0.1600265428
161	0.9790061116	0.1599846893
162	0.9790078402	0.1599688476
163	0.9790123999	0.1599498597
164	0.9790170789	0.1599284569
165	0.9790202677	0.1599143953
166	0.9790232778	0.1599003614
167	0.979029417	0.159873908
168	0.9790397882	0.1598362219
169	0.9790453315	0.1598176203
170	0.9790514708	0.1597941752
171	0.9790586829	0.1597598976
172	0.9790658951	0.1597229153
173	0.9790762067	0.1596888584
174	0.9790820479	0.1596639919
175	0.9790927172	0.1596244981
176	0.9790959358	0.1595999353
177	0.9791021347	0.1595814993
178	0.9791072607	0.1595637533
179	0.9791150093	0.159526633
180	0.9791251421	0.1594672405
181	0.9791355729	0.1594250834
182	0.9791416526	0.1594057781
183	0.979150176	0.15937662
184	0.9791602492	0.159346496
185	0.9791654348	0.1593216296
186	0.9791691005	0.1593023932
187	0.9791744947	0.1592795277
188	0.9791790247	0.1592585526
189	0.979183495	0.1592348453
190	0.9791907668	0.1592077847
191	0.9791998267	0.1591813176
192	0.9792006016	0.1591752596
193	0.9792104363	0.1591389397
194	0.9792147279	0.1591295423
195	0.9792264104	0.1590746622
196	0.9792309999	0.159052597
197	0.9792419672	0.158995164
198	0.979246676	0.1589714429
199	0.9792535305	0.1589489223
200	0.9792636633	0.1589221102
201	0.9792661071	0.1589111397
202	0.9792705178	0.1588890193
203	0.9792788029	0.158865243
204	0.9792847633	0.1588345946
205	0.9792933464	0.158802304
206	0.979301393	0.1587775894
207	0.9793030024	0.1587690889
208	0.9793108702	0.158727332
209	0.9793125987	0.1587182935
210	0.9793165922	0.1587043285
211	0.9793229699	0.1586793102
212	0.9793323278	0.1586511595
213	0.9793381095	0.1586280594
214	0.9793430567	0.158606077
215	0.9793552756	0.1585688601
216	0.9793588519	0.1585454701
217	0.9793639183	0.1585230738
218	0.9793657064	0.1585096746
219	0.979370594	0.1584930739
220	0.9793722034	0.1584839939
221	0.9793769717	0.1584668551
222	0.9793806672	0.1584423888
223	0.9793872237	0.1584229317
224	0.9793903828	0.1584072832
225	0.9793950319	0.1583869154
226	0.9793989062	0.1583709633
227	0.9794058204	0.1583488567
